Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKV_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Cropland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Built-up
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Bareland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
