Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MYC_M_R
51,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
52,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
53,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
54,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
55,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
56,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
58,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
62,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
63,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
64,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
65,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
66,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
67,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
68,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
69,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
72,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
75,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
76,NULL,Water,Water,Water,Water,NULL,NULL,Water
77,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
84,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
