Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KDF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KDF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KDF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KDF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KDF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
159,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
