Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MHP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MHP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MHP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MHP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MHP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MHP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
4,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
5,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
6,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
7,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
8,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
10,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
11,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
12,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
13,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
14,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
16,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
17,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
18,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
19,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Water,Forest
20,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
21,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
22,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Water,Forest
23,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
24,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
25,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
26,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
27,NULL,Built-up,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,Built-up,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
30,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
32,NULL,Water,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
33,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Wetland,Forest
35,NULL,Water,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
36,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
37,NULL,Water,Wetland,NULL,Wetland,Wetland,Wetland,Forest
38,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
39,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Grassland
40,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
41,NULL,Water,Bareland,NULL,Non_Wetland,Water,Water,Water
42,NULL,Water,Bareland,Water,Non_Wetland,Water,Water,Forest
43,NULL,Water,Built-up,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,Water,Water,NULL,Water,Water,Water,Water
45,NULL,Water,Forest,NULL,Non_Wetland,Grassland,Water,Forest
46,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Water
48,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
49,NULL,Forest,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
50,NULL,Forest,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
51,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
52,Grassland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
53,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
54,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
55,Grassland,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
56,Grassland,Forest,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
57,Cropland,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
58,Cropland,NULL,Wetland,NULL,Wetland,Wetland,Forest,Forest
59,Bareland,Bareland,Grassland,Non_Water,Non_Wetland,Water,Wetland,Forest
60,Bareland,Bareland,Wetland,NULL,Wetland,Water,Wetland,Forest
61,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
62,Bareland,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Water
63,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
64,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Bareland
65,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
66,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Forest
67,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
68,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Bareland
69,Bareland,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
70,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Grassland
71,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Bareland
72,Bareland,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
73,Bareland,Bareland,Wetland,Water,Wetland,Bareland,Water,Bareland
74,Bareland,Bareland,Wetland,Water,Wetland,Water,Wetland,Bareland
75,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
76,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
77,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Water
78,Bareland,Bareland,Wetland,Water,Wetland,Water,Water,Forest
79,Bareland,Bareland,Bareland,Water,Non_Wetland,Water,Water,Water
80,Bareland,Bareland,Water,NULL,Water,Water,Water,Water
81,Bareland,Bareland,Water,NULL,Water,Water,Water,Forest
82,Bareland,Bareland,Water,Non_Water,Water,Water,Wetland,Grassland
83,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Grassland
84,Bareland,Bareland,Water,Non_Water,Water,Water,Water,Bareland
85,Bareland,Bareland,Water,Water,Water,Wetland,Water,Water
86,Bareland,Bareland,Water,Water,Water,Wetland,Water,Forest
87,Bareland,Bareland,Water,Water,Water,Bareland,Water,Bareland
88,Bareland,Bareland,Water,Water,Water,Water,Water,Grassland
89,Bareland,Bareland,Water,Water,Water,Water,Water,Bareland
90,Bareland,Bareland,Water,Water,Water,Water,Water,Water
91,Bareland,Bareland,Water,Water,Water,Water,Water,Forest
92,Bareland,Water,Shrubland,NULL,Non_Wetland,Bareland,Water,Water
93,Bareland,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
94,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
95,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Forest
96,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Grassland
97,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Water
98,Bareland,Water,Wetland,Non_Water,Wetland,Wetland,Water,Forest
99,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
100,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Water
101,Bareland,Water,Wetland,Non_Water,Wetland,Bareland,Water,Forest
102,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Water
103,Bareland,Water,Wetland,Non_Water,Wetland,Water,Wetland,Forest
104,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Grassland
105,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Water
106,Bareland,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
107,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Grassland
108,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Bareland
109,Bareland,Water,Wetland,Water,Wetland,Wetland,Water,Water
110,Bareland,Water,Wetland,Water,Wetland,Bareland,Water,Bareland
111,Bareland,Water,Wetland,Water,Wetland,Water,Wetland,Water
112,Bareland,Water,Wetland,Water,Wetland,Water,Water,Grassland
113,Bareland,Water,Wetland,Water,Wetland,Water,Water,Bareland
114,Bareland,Water,Wetland,Water,Wetland,Water,Water,Water
115,Bareland,Water,Wetland,Water,Wetland,Water,Water,Forest
116,Bareland,Water,Bareland,Non_Water,Non_Wetland,Wetland,Water,Water
117,Bareland,Water,Water,NULL,Water,Bareland,Water,Bareland
118,Bareland,Water,Water,Water,Water,Wetland,Water,Grassland
119,Bareland,Water,Water,Water,Water,Wetland,Water,Water
120,Bareland,Water,Water,Water,Water,Water,Water,Grassland
121,Bareland,Water,Water,Water,Water,Water,Water,Water
122,Bareland,Water,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
123,Bareland,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Grassland
124,Bareland,Water,Forest,Water,Non_Wetland,Wetland,Water,Water
125,Bareland,Water,Forest,Water,Non_Wetland,Water,Water,Water
126,Bareland,Forest,Wetland,Non_Water,Wetland,Water,Wetland,Forest
127,Bareland,Forest,Wetland,Water,Wetland,Water,Water,Grassland
128,Water,Bareland,Wetland,NULL,Wetland,Water,Water,Grassland
129,Water,Bareland,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
130,Water,Bareland,Wetland,Non_Water,Wetland,Wetland,Water,Water
131,Water,Bareland,Wetland,Non_Water,Wetland,Water,Wetland,Water
132,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Grassland
133,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Bareland
134,Water,Bareland,Wetland,Non_Water,Wetland,Water,Water,Water
135,Water,Bareland,Wetland,Water,Wetland,Wetland,Water,Grassland
136,Water,Bareland,Wetland,Water,Wetland,Wetland,Water,Water
137,Water,Bareland,Wetland,Water,Wetland,Wetland,Water,Forest
138,Water,Bareland,Wetland,Water,Wetland,Bareland,Water,Water
139,Water,Bareland,Wetland,Water,Wetland,Water,Wetland,Water
140,Water,Bareland,Wetland,Water,Wetland,Water,Water,Grassland
141,Water,Bareland,Wetland,Water,Wetland,Water,Water,Bareland
142,Water,Bareland,Wetland,Water,Wetland,Water,Water,Water
143,Water,Bareland,Wetland,Water,Wetland,Water,Water,Forest
144,Water,Bareland,Water,Non_Water,Water,Water,Water,Water
145,Water,Bareland,Water,Water,Water,Water,Water,Grassland
146,Water,Bareland,Water,Water,Water,Water,Water,Bareland
147,Water,Bareland,Water,Water,Water,Water,Water,Water
148,Water,Water,NULL,NULL,Non_Wetland,Wetland,Water,Forest
149,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Water
150,Water,Water,NULL,NULL,Non_Wetland,Water,Wetland,Forest
151,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Water
152,Water,Water,NULL,NULL,Non_Wetland,Water,Water,Forest
153,Water,Water,NULL,NULL,Non_Wetland,Water,Forest,Water
154,Water,Water,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
155,Water,Water,NULL,Non_Water,Non_Wetland,Water,Water,Water
156,Water,Water,NULL,Water,Non_Wetland,Water,Water,Water
157,Water,Water,NULL,Water,Non_Wetland,Water,Water,Forest
158,Water,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
159,Water,Water,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
160,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Water
161,Water,Water,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
162,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Water
163,Water,Water,Grassland,NULL,Non_Wetland,Water,Water,Forest
164,Water,Water,Grassland,NULL,Non_Wetland,Water,Forest,Water
