Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQD_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
60,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
75,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
79,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
80,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
81,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
82,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
83,NULL,NULL,Water,Water,Water,NULL,NULL,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
89,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
90,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
92,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
93,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
96,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
104,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
112,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
118,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
119,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
120,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
122,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
125,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
131,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
132,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
139,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
143,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
144,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
146,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
147,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
148,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
149,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
150,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
151,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
156,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
158,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
159,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
160,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
164,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
169,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
171,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
178,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
182,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
197,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
198,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
199,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
200,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
203,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
207,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
208,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
209,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
210,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
211,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
212,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
213,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
214,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
216,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
217,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
218,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
219,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
220,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
222,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
223,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
224,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
225,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
226,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
227,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
228,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
229,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
230,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
231,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
232,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
233,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
234,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
235,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
236,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
238,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
239,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
240,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
241,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
242,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
243,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
244,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
245,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
246,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
247,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
248,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
249,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
250,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
252,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
254,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
255,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
256,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
257,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
258,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
259,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
260,Grassland,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
261,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
262,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
263,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
264,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
265,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
266,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
267,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
268,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
269,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
270,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
271,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
272,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
274,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
275,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
276,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
277,Grassland,NULL,Water,Water,Water,NULL,NULL,Cropland
278,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
279,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
280,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
281,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
282,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
283,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
284,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
285,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
286,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
287,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
288,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
289,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
290,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
291,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
292,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
293,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
294,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
295,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
296,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
298,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,Cropland,NULL,Water,Non_Wetland,NULL,NULL,NULL
300,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
303,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
305,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
306,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
307,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
308,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
309,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
311,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
312,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
313,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
314,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
315,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
316,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
318,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
319,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
321,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
322,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
323,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
325,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
326,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
327,Grassland,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
328,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
329,Grassland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
330,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
332,Grassland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
333,Grassland,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
