Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYB_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
39,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
40,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Wetland
47,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
49,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,Forest
53,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
55,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest,Forest
57,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
58,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
59,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,Forest,NULL,Non_Wetland,Shrubland,Forest,Grassland
64,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Grassland
65,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
67,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Wetland,Grassland
68,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
71,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,NULL
72,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
73,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
74,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,NULL
75,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
81,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
82,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Grassland
83,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Wetland
84,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
85,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Wetland,Forest
87,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
89,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
90,NULL,NULL,Forest,Non_Water,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,Forest,Water,Non_Wetland,Wetland,Wetland,Grassland
92,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
93,NULL,Bareland,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
94,NULL,Bareland,Water,Non_Water,Water,Wetland,Wetland,Grassland
95,NULL,Bareland,Water,Non_Water,Water,Water,Water,Water
96,NULL,Bareland,Water,Water,Water,Water,Water,Grassland
97,NULL,Bareland,Water,Water,Water,Water,Water,Bareland
98,NULL,Bareland,Water,Water,Water,Water,Water,Water
99,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
100,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
101,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
103,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
106,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
107,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
108,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
109,NULL,Built-up,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
110,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
111,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
112,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
113,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
114,NULL,Built-up,Wetland,NULL,Wetland,Shrubland,Water,Forest
115,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Built-up
116,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
117,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Grassland,Forest
118,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Water,Forest
119,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
120,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
121,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Grassland,Grassland
122,NULL,Built-up,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
123,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
125,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Shrubland,Grassland
126,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Shrubland,Forest
127,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Grassland,Forest
128,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
129,NULL,Built-up,Forest,Water,Non_Wetland,NULL,Grassland,Forest
130,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
131,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
132,NULL,Water,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
133,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
134,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Water,Water
135,NULL,Water,Shrubland,Water,Non_Wetland,Wetland,Water,Forest
136,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Bareland
137,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
138,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Bareland
139,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Water
140,NULL,Water,Wetland,NULL,Wetland,Water,Wetland,Forest
141,NULL,Water,Wetland,NULL,Wetland,Water,Water,Bareland
142,NULL,Water,Wetland,NULL,Wetland,Water,Water,Water
143,NULL,Water,Wetland,NULL,Wetland,Water,Water,Forest
144,NULL,Water,Wetland,Non_Water,Wetland,Wetland,Wetland,Water
145,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Water
146,NULL,Water,Wetland,Non_Water,Wetland,Water,Water,Forest
147,NULL,Water,Wetland,Non_Water,Wetland,Water,Forest,Water
148,NULL,Water,Wetland,Water,Wetland,Wetland,Wetland,Forest
149,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
150,NULL,Water,Wetland,Water,Wetland,Water,Water,Forest
151,NULL,Water,Water,Non_Water,Water,Wetland,Water,Forest
152,NULL,Water,Water,Non_Water,Water,Water,Water,Water
153,NULL,Water,Water,Water,Water,Wetland,Water,Water
154,NULL,Water,Water,Water,Water,Water,Wetland,Water
155,NULL,Water,Water,Water,Water,Water,Water,Water
156,NULL,Water,Water,Water,Water,Water,Water,Forest
157,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Water
158,NULL,Water,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
159,NULL,Water,Forest,NULL,Non_Wetland,Wetland,Forest,Forest
160,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Water
161,NULL,Water,Forest,NULL,Non_Wetland,Water,Wetland,Forest
162,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Water
163,NULL,Water,Forest,NULL,Non_Wetland,Water,Water,Forest
164,NULL,Water,Forest,NULL,Non_Wetland,Water,Forest,Forest
165,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Wetland,Forest
166,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Water,Bareland
167,NULL,Water,Forest,Non_Water,Non_Wetland,Water,Forest,Water
168,NULL,Water,Forest,Water,Non_Wetland,Wetland,Water,Forest
169,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
170,NULL,Forest,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
171,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
172,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
173,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
175,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
176,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
177,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
178,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
179,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
180,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
181,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
182,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
183,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
184,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
185,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
186,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
188,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
189,NULL,Forest,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Forest
190,NULL,Forest,Wetland,NULL,Wetland,NULL,Wetland,Forest
191,NULL,Forest,Wetland,NULL,Wetland,NULL,Water,Forest
192,NULL,Forest,Wetland,NULL,Wetland,NULL,Forest,Forest
193,NULL,Forest,Wetland,NULL,Wetland,Wetland,Forest,Forest
