Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
159,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
160,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
163,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
164,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
165,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Water
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
