Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MYP_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
43,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland,Water,Grassland
49,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Grassland
50,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
