Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
