Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
