Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NZH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NZH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NZH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NZH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NZH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NZH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NZH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
21,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
23,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
24,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
27,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
28,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
30,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
31,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
34,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
39,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
40,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
41,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
43,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
