Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
38,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
39,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
42,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
43,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
44,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
45,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
51,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
52,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
53,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
54,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
55,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
56,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
57,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
58,NULL,NULL,Water,Water,Water,NULL,NULL,Water
59,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
60,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
67,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
68,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
71,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
76,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
77,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
80,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
81,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
82,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
83,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
84,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
86,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
87,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
88,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
89,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
90,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
91,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
95,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
96,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
97,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
98,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
101,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
104,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
106,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
107,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
108,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
109,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
114,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
115,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
117,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
119,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
125,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
126,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
127,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
128,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
129,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
130,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
131,NULL,Water,Water,Water,Water,NULL,NULL,Water
132,NULL,Water,Water,Water,Water,NULL,NULL,Forest
133,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
134,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
136,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
137,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
141,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
145,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
146,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
147,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
148,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
149,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
150,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
151,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
153,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
154,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
155,NULL,Forest,Water,Water,Water,NULL,NULL,Grassland
156,NULL,Forest,Water,Water,Water,NULL,NULL,Forest
157,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
160,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
161,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
162,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
163,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
164,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
165,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
166,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
167,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
168,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
169,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
170,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
171,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
172,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
173,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
174,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
175,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
176,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
177,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
178,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
179,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
180,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
181,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
182,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
183,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
184,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
185,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
186,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
187,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
188,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
189,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
190,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
191,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
192,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
193,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
194,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
195,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
196,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
197,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
198,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
199,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
200,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
201,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
202,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
203,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
204,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Grassland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
206,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,Grassland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
208,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
209,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
210,Grassland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
211,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
212,Grassland,Wetland,Water,Water,Water,NULL,NULL,Wetland
213,Grassland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
214,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
217,Grassland,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Grassland,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
219,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
221,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
222,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
223,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
224,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
225,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
227,Grassland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
228,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
229,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
230,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
231,Grassland,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
232,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
233,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
234,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
235,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
236,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
237,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
238,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
239,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
241,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
242,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
243,Cropland,NULL,Water,NULL,Water,NULL,NULL,Forest
244,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
245,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
246,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
247,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,Cropland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
249,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
250,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
251,Cropland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
252,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
253,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
254,Cropland,Water,Water,Water,Water,NULL,NULL,Water
255,Cropland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
256,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
257,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
258,Cropland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
259,Cropland,Forest,Water,NULL,Water,NULL,NULL,Forest
260,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
261,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
262,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
263,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
264,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
266,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
268,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
270,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
271,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
272,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
273,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
274,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
275,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
276,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
277,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
278,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
279,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
280,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
281,Wetland,NULL,Water,NULL,Water,NULL,NULL,Water
282,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
283,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
284,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
285,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
286,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
287,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
289,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
290,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
291,Wetland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
292,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
293,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
294,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
295,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
296,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
297,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
298,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
299,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
300,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
301,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Water
302,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
303,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
304,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
305,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
306,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,Wetland,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
308,Wetland,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
309,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
310,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
311,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
312,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Wetland
313,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Water
314,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
315,Wetland,Water,Water,Water,Water,NULL,NULL,Water
316,Wetland,Water,Water,Water,Water,NULL,NULL,Forest
317,Wetland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
318,Wetland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
319,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
320,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
321,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
322,Wetland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
323,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
324,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
325,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
326,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
327,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
328,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
329,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
330,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
331,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
332,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
333,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
334,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
335,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
336,Bareland,NULL,Water,NULL,Water,NULL,NULL,Forest
337,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
338,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
339,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
340,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
341,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
342,Bareland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
343,Bareland,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
344,Bareland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
345,Bareland,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
346,Bareland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
347,Bareland,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
348,Bareland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
