Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KVF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KVF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KVF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KVF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
137,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
140,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Built-up
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
175,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
177,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
178,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
179,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
180,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
181,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
182,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
183,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
184,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Wetland
185,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
186,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
187,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
188,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Bareland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
325,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
326,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
