Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
39,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
43,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
44,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
