Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEK_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Water
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Forest
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
56,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
57,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
58,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
62,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
63,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
65,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
77,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
81,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Water
83,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
94,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
95,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
99,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
101,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
102,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
103,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
104,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
105,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
106,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
107,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
108,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
109,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
110,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
111,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
112,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
113,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Grassland,Grassland
115,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest,Grassland,Forest
116,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
117,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Grassland
119,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Wetland,Water
120,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
121,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Grassland
122,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Water
123,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
124,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
125,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
126,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
128,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
129,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
130,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
131,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
132,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
134,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
135,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
136,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
137,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
138,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
139,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Water
145,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
146,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
147,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
148,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
149,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
150,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
151,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
152,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
153,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
154,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
155,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Bareland
157,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
159,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
160,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
161,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
162,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
163,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
165,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Bareland
166,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Forest
167,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Wetland,Forest
168,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Grassland
169,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
170,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Grassland
171,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Forest,Forest
172,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
173,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
174,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
175,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
176,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
177,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
178,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
179,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
180,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Forest
181,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Water,Grassland
182,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
183,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
184,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Water
185,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
186,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
187,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
188,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
189,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
190,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Water
191,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
192,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
193,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Water,Water
194,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Wetland,Grassland
196,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Bareland,Forest
197,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water,Forest,Grassland
198,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
201,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Forest
202,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Water,Forest
203,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Grassland
204,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Grassland,Forest
205,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Grassland
206,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Cropland
207,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Wetland,Water
208,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Bareland,Grassland
209,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Grassland
210,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Water
211,NULL,NULL,Cropland,Water,Non_Wetland,Bareland,Water,Forest
212,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Grassland
213,NULL,NULL,Cropland,Water,Non_Wetland,Water,Grassland,Bareland
214,NULL,NULL,Cropland,Water,Non_Wetland,Water,Water,Grassland
215,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,Forest
216,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Grassland
217,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland,Forest
218,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
219,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Water
220,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
221,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Grassland
222,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,Forest
223,NULL,NULL,Wetland,NULL,Wetland,Grassland,Bareland,Forest
224,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Grassland
225,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Grassland
226,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
227,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,Forest
228,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,Water
229,NULL,NULL,Wetland,NULL,Wetland,Forest,Grassland,Forest
230,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,Forest
231,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,Forest
232,NULL,NULL,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Grassland,Grassland
234,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Grassland
235,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Wetland,Water
236,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Grassland
237,NULL,NULL,Wetland,Non_Water,Wetland,Bareland,Water,Water
238,NULL,NULL,Wetland,Non_Water,Wetland,Water,Grassland,Grassland
239,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Water
240,NULL,NULL,Wetland,Water,Wetland,Bareland,Grassland,Water
241,NULL,NULL,Wetland,Water,Wetland,Bareland,Wetland,Water
242,NULL,NULL,Wetland,Water,Wetland,Bareland,Bareland,Water
243,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
244,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
245,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Grassland
246,NULL,NULL,Wetland,Water,Wetland,Water,Grassland,Water
247,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Water
248,NULL,NULL,Wetland,Water,Wetland,Water,Wetland,Forest
249,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
250,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
251,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
252,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Water,Grassland,Bareland
253,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
254,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Bareland
255,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,Forest
256,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Grassland
257,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,Forest
258,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Grassland
259,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Bareland,Forest
260,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Grassland
261,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Water,Forest
262,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Grassland
263,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,Forest
264,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland,Grassland,Water
265,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Water
267,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
268,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
269,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Water,Forest
270,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Grassland
271,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Bareland
272,NULL,NULL,Bareland,NULL,Non_Wetland,Water,Grassland,Forest
273,NULL,NULL,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
274,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
275,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Wetland,Water
276,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
277,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water,Grassland,Grassland
278,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Grassland
279,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Grassland,Water
280,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Water
281,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Water,Water
283,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Forest,Grassland
284,NULL,NULL,Bareland,Water,Non_Wetland,Bareland,Forest,Forest
285,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Grassland
286,NULL,NULL,Bareland,Water,Non_Wetland,Water,Grassland,Water
287,NULL,NULL,Bareland,Water,Non_Wetland,Water,Wetland,Forest
288,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Grassland
289,NULL,NULL,Bareland,Water,Non_Wetland,Water,Water,Water
290,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Bareland
292,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
293,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
294,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
295,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
296,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
297,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
298,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
299,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
300,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
301,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
302,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
304,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
305,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
306,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
307,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
308,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
309,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
310,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
311,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
312,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
313,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
314,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
315,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
316,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
317,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
318,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
319,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
320,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Grassland
321,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Bareland
322,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Grassland,Forest
323,NULL,NULL,Built-up,NULL,Non_Wetland,Water,Bareland,Grassland
324,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
325,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland,Water,Grassland
326,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
327,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
328,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
329,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
