Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NFB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NFB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NFB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NFB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NFB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NFB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NFB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
3,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
5,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
51,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
59,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
60,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
61,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
63,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
65,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Water
67,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
70,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
71,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
72,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
73,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
75,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
76,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
77,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Wetland,Water
79,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Water
83,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
84,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Water
85,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,Grassland,Water,Non_Wetland,Water,Wetland,Water
87,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Grassland
88,NULL,NULL,Grassland,Water,Non_Wetland,Water,Water,Water
89,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
90,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
