Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LTR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LTR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LTR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LTR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LTR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LTR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Permanent_ice_and_snow
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL
20,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL
39,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
41,NULL,NULL,Grassland,Water,Non_Wetland,Forest
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
43,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
45,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
53,NULL,NULL,Cropland,Water,Non_Wetland,Forest
54,NULL,NULL,Wetland,NULL,Wetland,NULL
55,NULL,NULL,Wetland,NULL,Wetland,Grassland
56,NULL,NULL,Wetland,NULL,Wetland,Forest
57,NULL,NULL,Wetland,Water,Wetland,NULL
58,NULL,NULL,Wetland,Water,Wetland,Grassland
59,NULL,NULL,Wetland,Water,Wetland,Water
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
64,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
65,NULL,NULL,Bareland,NULL,Non_Wetland,Water
66,NULL,NULL,Bareland,NULL,Non_Wetland,Permanent_ice_and_snow
67,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,Cropland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
74,NULL,NULL,Bareland,Water,Non_Wetland,NULL
75,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
76,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
77,NULL,NULL,Bareland,Water,Non_Wetland,Built-up
78,NULL,NULL,Bareland,Water,Non_Wetland,Water
79,NULL,NULL,Bareland,Water,Non_Wetland,Forest
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL
81,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
82,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
83,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
84,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
85,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
86,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
87,NULL,NULL,Water,NULL,NULL,Grassland
88,NULL,NULL,Water,NULL,NULL,Bareland
89,NULL,NULL,Water,NULL,NULL,Permanent_ice_and_snow
90,NULL,NULL,Water,NULL,Water,NULL
91,NULL,NULL,Water,NULL,Water,Grassland
92,NULL,NULL,Water,NULL,Water,Wetland
93,NULL,NULL,Water,NULL,Water,Bareland
94,NULL,NULL,Water,NULL,Water,Water
95,NULL,NULL,Water,NULL,Water,Permanent_ice_and_snow
96,NULL,NULL,Water,NULL,Water,Forest
97,NULL,NULL,Water,Non_Water,Water,Grassland
98,NULL,NULL,Water,Non_Water,Water,Water
99,NULL,NULL,Water,Non_Water,Water,Forest
100,NULL,NULL,Water,Water,Water,NULL
101,NULL,NULL,Water,Water,Water,Grassland
102,NULL,NULL,Water,Water,Water,Wetland
103,NULL,NULL,Water,Water,Water,Bareland
104,NULL,NULL,Water,Water,Water,Water
105,NULL,NULL,Water,Water,Water,Forest
106,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Grassland
107,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Bareland
108,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,Permanent_ice_and_snow
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL
110,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
111,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
112,NULL,NULL,Forest,NULL,Non_Wetland,Wetland
113,NULL,NULL,Forest,NULL,Non_Wetland,Lichens_and_Mosses
114,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
115,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
116,NULL,NULL,Forest,NULL,Non_Wetland,Water
117,NULL,NULL,Forest,NULL,Non_Wetland,Permanent_ice_and_snow
118,NULL,NULL,Forest,NULL,Non_Wetland,Forest
119,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
120,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
