Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
194,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
195,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
196,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
198,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
199,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
255,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
256,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
258,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
259,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
260,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
261,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
262,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
263,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
264,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
265,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
266,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
267,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
268,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
269,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
270,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
271,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
272,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
273,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
274,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
275,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
276,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
277,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
278,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
280,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
282,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,NULL
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
292,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
294,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,NULL
296,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Cropland
303,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
