Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
52,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
53,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
57,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,NULL
59,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
60,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,NULL
61,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
62,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
63,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,NULL
64,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland,NULL
65,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
66,NULL,NULL,Wetland,NULL,Wetland,Grassland,Wetland,NULL
67,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
68,NULL,NULL,Wetland,NULL,Wetland,Wetland,Shrubland,NULL
69,NULL,NULL,Wetland,NULL,Wetland,Wetland,Grassland,NULL
70,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
71,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
72,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
73,NULL,NULL,Wetland,NULL,Wetland,Bareland,Shrubland,NULL
74,NULL,NULL,Wetland,NULL,Wetland,Bareland,Grassland,NULL
75,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
76,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
77,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
78,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
79,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
80,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Forest,NULL
81,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
83,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
84,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Grassland,NULL
85,NULL,NULL,Bareland,NULL,Non_Wetland,Wetland,Wetland,NULL
