Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Bareland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Cropland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Water
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Bareland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
