Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Water,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Built-up
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,NULL,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Bareland,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
275,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
276,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
277,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Bareland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Bareland
285,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Cropland
287,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
288,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Cropland
290,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
291,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Cropland
293,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
295,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Built-up
296,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
297,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Built-up
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Water
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
332,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
