Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MBT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MBT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MBT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
