Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
50,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
51,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
52,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
