Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LZR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LZR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LZR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LZR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LZR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LZR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LZR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
