Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
37,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
38,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
46,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
