Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MRS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
171,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
201,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
202,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
203,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Wetland
207,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
208,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
209,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
211,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
212,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
213,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
214,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
217,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
219,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
223,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
224,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
225,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
226,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
227,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
228,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
231,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
232,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
235,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
236,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
238,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
239,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
240,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
242,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
243,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
244,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
245,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Cropland
246,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
257,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
258,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
259,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
260,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
261,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
262,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
263,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
264,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
265,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
266,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
267,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Cropland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Bareland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Cropland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
