Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MFM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MFM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MFM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MFM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MFM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MFM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MFM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
29,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
31,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
32,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
33,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
34,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
35,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
36,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Water
38,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
49,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
51,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
52,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
53,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
55,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
56,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
57,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
59,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
60,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
62,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
63,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
65,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
66,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
69,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
70,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Water,Water
72,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
73,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Water,Grassland
74,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
76,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
77,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
78,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
79,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
80,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
81,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
83,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
85,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Grassland
86,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Grassland
87,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Bareland,Forest
88,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Water,Grassland
89,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
90,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
