Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KRU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KRU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KRU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KRU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KRU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KRU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KRU_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
66,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
67,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
73,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
86,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
91,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
93,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
95,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
99,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
100,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
103,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
108,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
109,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
112,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
113,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
115,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
118,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
120,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
121,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
122,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
123,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
126,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
127,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
128,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
129,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
130,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
131,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
132,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
133,NULL,NULL,Water,Water,Water,NULL,NULL,NULL
134,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
136,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
137,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
138,NULL,NULL,Water,Water,Water,NULL,NULL,Water
139,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
152,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
153,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
154,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
156,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
159,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
160,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
161,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
163,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
165,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
166,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
168,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
180,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
193,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
196,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
200,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
201,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
202,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
204,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
205,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
207,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
208,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
211,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
212,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
214,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
220,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
228,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
229,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
230,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
231,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
232,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
233,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
234,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
235,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
236,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
237,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
238,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
239,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
240,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
247,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
248,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
249,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
251,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
252,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
253,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
254,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
255,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
257,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
260,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
261,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
264,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
265,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
266,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
267,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
268,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
269,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
270,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
282,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
283,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
284,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
285,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
286,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
287,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
289,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
290,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
291,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
292,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
293,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
294,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
295,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
297,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
299,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
300,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
303,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
305,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
306,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
308,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
311,NULL,Built-up,Water,NULL,Water,NULL,NULL,Cropland
312,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
313,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
314,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
315,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Cropland
316,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
317,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
318,NULL,Built-up,Water,Water,Water,NULL,NULL,Cropland
319,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
320,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
322,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
323,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
324,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
325,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
332,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
333,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Water
334,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
335,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
336,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
337,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
339,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
340,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Water
341,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
