Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KGS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KGS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KGS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KGS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KGS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KGS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KGS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KGS_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
46,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
47,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
48,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
49,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
50,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
51,NULL,NULL,Water,Water,Water,NULL,NULL,Water
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
55,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
59,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
61,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
62,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
65,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
69,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
70,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
75,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
76,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
77,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
78,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
79,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
80,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
81,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
83,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
85,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
88,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
89,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
91,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
92,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
93,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
94,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
95,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
96,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
97,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
98,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
99,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
100,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
102,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
103,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
104,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
105,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
106,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
107,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
108,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
109,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
110,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
112,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
113,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
114,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
115,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
116,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
117,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
118,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
119,Grassland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
120,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
121,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
122,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
123,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
124,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
125,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
126,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
127,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
128,Grassland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
129,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
130,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
131,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
132,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
133,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
135,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
136,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
137,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
138,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
139,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
140,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
141,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
142,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
143,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
144,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
145,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
146,Cropland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
147,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
148,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
149,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
150,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
151,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
152,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
153,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
154,Cropland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
155,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
156,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
157,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
158,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
159,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
160,Cropland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
161,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
163,Cropland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
164,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
165,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
166,Cropland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
167,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
168,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
169,Cropland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
170,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
171,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
172,Cropland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
173,Cropland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
174,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
175,Cropland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
176,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
177,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
178,Cropland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
179,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
180,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
181,Cropland,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
182,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
184,Cropland,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
185,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
186,Cropland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
187,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
188,Cropland,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
189,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
190,Cropland,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
191,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
192,Cropland,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
193,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
194,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
195,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
196,Cropland,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
197,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,Cropland,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
199,Cropland,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
200,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
201,Cropland,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
202,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
203,Cropland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,Cropland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
206,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
207,Cropland,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
208,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
209,Cropland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
210,Cropland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
211,Wetland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
212,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
213,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
214,Wetland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
215,Wetland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Wetland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
217,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
218,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
219,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
220,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
221,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
222,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
223,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
224,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
225,Bareland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
226,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
227,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
228,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
229,Bareland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
230,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
231,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
232,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
233,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
234,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
235,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
236,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
237,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
238,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
239,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
241,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
242,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
243,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
244,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
245,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
246,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
247,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
248,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
249,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
250,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
251,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
252,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
253,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
254,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
255,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
256,Bareland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
257,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
258,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
259,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
260,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
261,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
262,Bareland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
263,Bareland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
264,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
265,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
266,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
267,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
268,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
269,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
270,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
271,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
272,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
273,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
274,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
275,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
276,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
277,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
278,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
279,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
280,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
281,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
282,Bareland,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
283,Bareland,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Bareland
284,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
285,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Bareland
286,Bareland,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Water
287,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
288,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
289,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
290,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
291,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
292,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
293,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
294,Bareland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
295,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
296,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
297,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
298,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
299,Bareland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
300,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
301,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
302,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
303,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
304,Bareland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
305,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
306,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
307,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
308,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
309,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
310,Bareland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
311,Bareland,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
312,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
313,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
314,Bareland,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
315,Bareland,NULL,Water,NULL,Water,NULL,NULL,Grassland
316,Bareland,NULL,Water,NULL,Water,NULL,NULL,Bareland
317,Bareland,NULL,Water,NULL,Water,NULL,NULL,Water
318,Bareland,NULL,Water,Water,Water,NULL,NULL,Grassland
319,Bareland,NULL,Water,Water,Water,NULL,NULL,Bareland
320,Bareland,NULL,Water,Water,Water,NULL,NULL,Water
321,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
322,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
323,Bareland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
324,Bareland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
325,Bareland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
326,Bareland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
327,Bareland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
