Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
23,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
24,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Grassland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
36,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,Grassland,NULL,Forest
38,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,Forest
39,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
41,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
43,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
44,NULL,NULL,Water,NULL,Water,Grassland,NULL,Grassland
45,NULL,NULL,Water,NULL,Water,Grassland,NULL,Forest
46,NULL,NULL,Water,NULL,Water,Grassland,Grassland,Grassland
47,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
