Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
