Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MTR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MTR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MTR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MTR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MTR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MTR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MTR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
61,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
63,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
64,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
66,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
67,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
68,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
69,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
71,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
72,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
73,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
74,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
75,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
76,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Forest
77,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Forest
80,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
81,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
82,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
83,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Built-up,Grassland
86,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
88,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
89,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
