Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Bareland
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
