Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Forest
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
80,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
