Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
1,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
6,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
19,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
20,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
21,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
22,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
23,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
24,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
25,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
26,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
27,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
29,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
32,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
33,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
34,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
35,NULL,NULL,Water,Water,Water,NULL,NULL,Water
36,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
43,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
45,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
46,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
48,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
49,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
53,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
56,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
61,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
62,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
63,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
64,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
65,NULL,Water,Water,Water,Water,NULL,NULL,Water
66,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
67,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
69,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
70,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
71,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
73,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
75,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
76,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
77,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
78,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
79,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
80,NULL,Forest,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
82,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Water
