Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Wetland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
289,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
293,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
294,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
296,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
298,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
299,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
300,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
307,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
308,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
311,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
314,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
315,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
316,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
317,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
318,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Bareland
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Bareland
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
