Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
