Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LNE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LNE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LNE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LNE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LNE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LNE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LNE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
212,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
213,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Water
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Water
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Bareland,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
294,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Cropland
300,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,NULL
301,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
303,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
304,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Cropland
305,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Cropland
307,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Forest
312,NULL,NULL,NULL,Water,Non_Wetland,Forest,Water,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
