Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LXN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LXN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LXN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LXN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LXN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LXN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LXN_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
46,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
