Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23LMJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LMJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LMJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LMJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LMJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LMJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23LMJ_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Water
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
162,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
163,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
206,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
207,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
208,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
209,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
210,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
211,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
212,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
213,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
214,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
215,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
216,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Water
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Forest
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Bareland,Bareland
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
226,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
227,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
228,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Water
229,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
230,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Cropland
231,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Cropland
233,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
234,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Water
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Bareland
236,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Water
237,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,NULL
238,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
239,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,NULL
240,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Bareland
241,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
242,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
243,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
244,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
245,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
246,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
277,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
279,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Bareland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
