Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQM_M_R
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
73,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
74,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
75,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
76,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
77,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
84,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
95,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
97,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
98,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Forest
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
100,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
101,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
102,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
103,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
104,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
105,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
106,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
107,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
108,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
109,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
110,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
111,NULL,NULL,Water,Water,Water,NULL,NULL,Water
112,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
118,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
122,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
124,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
126,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
127,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
131,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
133,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
138,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
139,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
140,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
141,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
142,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
143,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
145,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
146,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
147,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
150,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
152,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
153,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
155,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
156,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
157,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
159,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
160,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
161,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
162,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
163,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
164,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
165,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
166,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
167,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
168,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
169,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
171,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
172,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
173,NULL,Wetland,Water,Water,Water,NULL,NULL,Bareland
174,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
176,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
178,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
179,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
183,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
185,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
188,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
191,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
192,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
194,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
195,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
198,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
200,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
201,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
203,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
204,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
209,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
211,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
212,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
213,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
214,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
215,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
216,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
217,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
218,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
220,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
221,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
222,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
224,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
225,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
229,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
230,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
231,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
232,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
233,NULL,Bareland,Water,Water,Water,NULL,NULL,Forest
234,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
236,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
237,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
239,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
241,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
242,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
243,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
244,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
245,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
246,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
247,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
248,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
249,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
250,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
251,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
252,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
253,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
254,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
255,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
256,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
257,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
258,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
259,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
260,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
261,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
263,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
264,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
265,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
267,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
268,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
269,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
272,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
273,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
276,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
277,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
280,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Water
284,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
285,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
288,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
289,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
290,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Water
291,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
293,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
294,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
295,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
296,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
297,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
298,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
299,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Wetland
300,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
301,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
302,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
303,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
304,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
305,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
309,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
310,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
312,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
313,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
314,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
316,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
319,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
320,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
321,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
322,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
323,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
324,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
325,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
326,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
327,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
328,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
329,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
333,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
334,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
335,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
336,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
337,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
338,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Bareland
339,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
340,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
341,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
