Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MVU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MVU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MVU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MVU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MVU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
