Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
92,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
103,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
115,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
116,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
117,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
128,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
129,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
131,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
133,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
256,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
257,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
259,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
260,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
261,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
262,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
263,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
264,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
265,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
266,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Wetland
267,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
268,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
269,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
270,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
271,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
272,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Wetland
273,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
274,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
276,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
277,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
278,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
280,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
282,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
283,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Cropland
285,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
286,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
287,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Cropland
289,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
290,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
292,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
293,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Cropland
294,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
298,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
299,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,NULL
300,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
301,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
302,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
303,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
304,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
305,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
306,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Cropland
308,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
309,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
310,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
311,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
312,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
313,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
314,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
315,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
316,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
317,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
319,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
320,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
321,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
322,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
323,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,NULL
324,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
