Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MXU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MXU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MXU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
17,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
19,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
23,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
24,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
25,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
26,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
27,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
28,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
29,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
30,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
31,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
32,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
36,NULL,NULL,Built-up,NULL,Non_Wetland,Water,NULL,Forest
37,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
39,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
40,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
41,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland,Forest
44,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
45,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,Wetland,Forest
46,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
47,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
48,NULL,NULL,Forest,NULL,Non_Wetland,Water,Grassland,Forest
49,NULL,NULL,Forest,NULL,Non_Wetland,Water,Wetland,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,Water,Forest,Forest
