Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Water
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Bareland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Wetland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Bareland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Built-up
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Built-up,Wetland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Built-up,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Built-up
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Bareland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,NULL
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
