Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LTE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LTE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LTE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LTE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LTE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,NULL
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
155,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
156,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
157,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
158,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
