Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LGD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LGD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LGD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LGD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LGD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LGD_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
56,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
58,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
64,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
65,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
70,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
71,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
72,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
77,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
78,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
85,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
90,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
91,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
92,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
96,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
97,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
98,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
99,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
129,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
134,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
135,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
142,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
143,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
144,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
145,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
146,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
147,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
148,NULL,NULL,Water,Water,Water,NULL,NULL,Water
149,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
158,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
159,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
161,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
162,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
163,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
164,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
165,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
166,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
168,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
170,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
176,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
178,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
181,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
186,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
188,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
191,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
192,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
194,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
195,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
196,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
197,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
198,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
199,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
203,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
204,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
205,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
206,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
208,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
214,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
217,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
219,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
220,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
222,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
224,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
225,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
227,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
228,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
229,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
230,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
231,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
232,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
233,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
234,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Cropland
235,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
236,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
237,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
238,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
239,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
241,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
242,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
243,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
244,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
245,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
246,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
248,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
249,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Water
250,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
251,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
252,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
253,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
254,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
255,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
256,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
257,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
258,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Water
259,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
261,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
262,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
263,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
264,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
265,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
266,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
267,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
269,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
270,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
271,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
274,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Water
276,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
277,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
278,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
279,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
280,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
281,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
282,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
283,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
284,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
285,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
286,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
288,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
289,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
290,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
292,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
293,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
294,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
295,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Water
296,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
297,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
298,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
299,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
301,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
302,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
304,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
307,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
308,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
312,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
313,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
314,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
316,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
317,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
318,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
319,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
320,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
321,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
322,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
324,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
325,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
326,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
327,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
328,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
332,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
333,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
334,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
335,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
336,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
337,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
339,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
340,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
341,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
