Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQF_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
49,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
52,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
53,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
57,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
58,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
86,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
91,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
92,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
93,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
94,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
95,NULL,NULL,Water,NULL,Water,NULL,NULL,Built-up
96,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
97,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
98,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
100,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
101,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
103,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
104,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
105,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
106,NULL,NULL,Water,Water,Water,NULL,NULL,Water
107,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
123,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
124,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
128,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
129,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
130,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
131,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
132,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
133,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
134,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
136,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
138,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
139,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
142,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
145,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
147,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
153,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
154,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
157,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
158,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
160,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
169,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
170,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
172,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
173,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
175,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
176,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
177,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
179,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
180,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
181,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
182,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
183,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
188,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
191,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
193,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
194,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
195,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
197,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
198,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
199,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
200,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
201,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
202,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
203,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
204,NULL,Cropland,Water,Water,Water,NULL,NULL,Wetland
205,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
206,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
207,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
213,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
218,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
219,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
220,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
221,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
222,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
223,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
224,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
225,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
226,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
248,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
251,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
253,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
254,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
256,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
257,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
258,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
260,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
261,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
262,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
264,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
265,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
266,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
267,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
268,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
269,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
271,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
272,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
273,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
274,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
275,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
276,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
277,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
280,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
282,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
284,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
285,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
286,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
287,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
288,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
289,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
290,NULL,Forest,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
291,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
292,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
294,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
295,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
296,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
297,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
298,NULL,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
299,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
301,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
303,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
304,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
305,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
306,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
307,NULL,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
308,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
309,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
310,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
311,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
312,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
315,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
317,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
318,NULL,Forest,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
319,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
320,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
321,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
322,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
323,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
324,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
325,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
326,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
328,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
330,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
331,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Wetland
332,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
333,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
335,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
336,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
337,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
338,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
339,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
340,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
