Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEH_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
18,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
20,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
21,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
25,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
26,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
27,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
28,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
29,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Wetland
30,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
32,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
33,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
34,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
35,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
36,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
37,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
