Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYU_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
146,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
159,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
161,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
166,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Water
171,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
172,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
173,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,NULL
174,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
