Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
54,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
