Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18LYR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LYR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LYR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LYR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18LYR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18LYR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18LYR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
21,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Water
25,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
28,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
29,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
30,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
31,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
32,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
