Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
73,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
126,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
127,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
139,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
140,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Bareland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Shrubland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Water
