Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPH_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPH_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPH_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPH_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPH_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPH_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPH_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPH_M_R
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Water
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Built-up
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Forest
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Wetland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Water
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Built-up
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
147,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
148,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
149,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
150,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
151,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
152,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
154,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
155,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
156,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Bareland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Bareland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
167,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
168,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
169,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
170,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
171,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Forest
172,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
173,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
174,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
175,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
176,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
177,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
178,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Water
179,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Forest
180,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
181,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
182,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
183,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
184,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
185,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
186,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
187,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
188,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Grassland
190,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Wetland
191,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
192,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
193,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
194,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
195,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
196,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Grassland
197,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Forest,Forest
198,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
199,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Forest,Grassland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Wetland,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Built-up,Grassland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Wetland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
205,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Water
207,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
208,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Wetland
209,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Water
210,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Grassland
211,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Forest
215,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
216,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Wetland
218,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
219,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
220,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Grassland
221,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
222,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
223,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
225,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
226,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
229,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
230,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
231,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
233,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
234,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
235,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Water
242,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
243,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
244,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
247,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
248,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Forest
249,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Wetland,Grassland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
252,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
253,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
254,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
257,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
258,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
259,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
261,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
262,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
263,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
264,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
265,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Wetland
266,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
273,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
275,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
276,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
278,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
279,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,NULL
280,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
282,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Wetland
285,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Water
286,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Forest
287,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
292,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,NULL
293,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
294,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
295,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Grassland
296,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Wetland,Forest
297,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
298,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Grassland
299,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland,Forest
301,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Wetland,Forest
302,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
303,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,NULL
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,NULL
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Forest
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,NULL
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Wetland,Grassland
320,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Grassland,Grassland
321,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland,Grassland
