Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Water
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
168,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
216,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
217,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
220,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
227,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
228,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Forest
230,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
232,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Forest
234,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Water
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
