Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
13,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
15,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
16,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
18,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
45,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
