Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NQF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NQF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Bareland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
