Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTV_M_R
296,Cropland,NULL,Forest,Non_Water,Non_Wetland,Grassland
297,Cropland,NULL,Forest,Non_Water,Non_Wetland,Water
298,Cropland,NULL,Forest,Non_Water,Non_Wetland,Forest
299,Cropland,NULL,Forest,Water,Non_Wetland,Grassland
300,Cropland,NULL,Forest,Water,Non_Wetland,Forest
301,Cropland,Wetland,Wetland,Water,Wetland,Water
302,Cropland,Wetland,Water,Water,Water,Water
303,Cropland,Bareland,Wetland,Water,Wetland,Water
304,Cropland,Bareland,Bareland,Water,Non_Wetland,Water
305,Cropland,Bareland,Water,Water,Water,Grassland
306,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
307,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Built-up
308,Cropland,Built-up,Shrubland,NULL,Non_Wetland,Forest
309,Cropland,Built-up,Grassland,NULL,Non_Wetland,Grassland
310,Cropland,Built-up,Grassland,NULL,Non_Wetland,Built-up
311,Cropland,Built-up,Grassland,NULL,Non_Wetland,Forest
312,Cropland,Built-up,Cropland,NULL,Non_Wetland,Grassland
313,Cropland,Built-up,Cropland,NULL,Non_Wetland,Built-up
314,Cropland,Built-up,Wetland,NULL,Wetland,Forest
315,Cropland,Built-up,Wetland,Water,Wetland,Water
316,Cropland,Built-up,Built-up,NULL,Non_Wetland,Grassland
317,Cropland,Built-up,Built-up,NULL,Non_Wetland,Built-up
318,Cropland,Built-up,Forest,NULL,Non_Wetland,Grassland
319,Cropland,Built-up,Forest,NULL,Non_Wetland,Forest
320,Cropland,Water,Shrubland,NULL,Non_Wetland,Forest
321,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Grassland
322,Cropland,Water,Shrubland,Non_Water,Non_Wetland,Water
323,Cropland,Water,Shrubland,Water,Non_Wetland,Water
324,Cropland,Water,Shrubland,Water,Non_Wetland,Forest
325,Cropland,Water,Grassland,NULL,Non_Wetland,Grassland
326,Cropland,Water,Wetland,NULL,Wetland,Grassland
327,Cropland,Water,Wetland,NULL,Wetland,Water
328,Cropland,Water,Wetland,NULL,Wetland,Forest
329,Cropland,Water,Wetland,Non_Water,Wetland,Grassland
330,Cropland,Water,Wetland,Non_Water,Wetland,Water
331,Cropland,Water,Wetland,Non_Water,Wetland,Forest
332,Cropland,Water,Wetland,Water,Wetland,Grassland
333,Cropland,Water,Wetland,Water,Wetland,Water
334,Cropland,Water,Wetland,Water,Wetland,Forest
335,Cropland,Water,Water,NULL,Water,Water
336,Cropland,Water,Water,Non_Water,Water,Water
337,Cropland,Water,Water,Water,Water,Water
338,Cropland,Water,Water,Water,Water,Forest
339,Cropland,Water,Forest,NULL,Non_Wetland,Grassland
340,Cropland,Water,Forest,NULL,Non_Wetland,Bareland
341,Cropland,Water,Forest,NULL,Non_Wetland,Water
342,Cropland,Water,Forest,NULL,Non_Wetland,Forest
343,Cropland,Water,Forest,Non_Water,Non_Wetland,Grassland
344,Cropland,Water,Forest,Non_Water,Non_Wetland,Water
345,Cropland,Water,Forest,Water,Non_Wetland,Water
346,Cropland,Forest,Shrubland,NULL,Non_Wetland,Grassland
347,Cropland,Forest,Shrubland,NULL,Non_Wetland,Bareland
348,Cropland,Forest,Shrubland,NULL,Non_Wetland,Forest
349,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Water
350,Cropland,Forest,Shrubland,Non_Water,Non_Wetland,Forest
351,Cropland,Forest,Shrubland,Water,Non_Wetland,Water
352,Cropland,Forest,Shrubland,Water,Non_Wetland,Forest
353,Cropland,Forest,Grassland,NULL,Non_Wetland,Grassland
354,Cropland,Forest,Grassland,Non_Water,Non_Wetland,Water
355,Cropland,Forest,Grassland,Water,Non_Wetland,Water
356,Cropland,Forest,Cropland,NULL,Non_Wetland,Grassland
357,Cropland,Forest,Cropland,NULL,Non_Wetland,Forest
358,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Water
359,Cropland,Forest,Cropland,Non_Water,Non_Wetland,Forest
360,Cropland,Forest,Cropland,Water,Non_Wetland,Water
361,Cropland,Forest,Wetland,NULL,Wetland,Water
362,Cropland,Forest,Wetland,Non_Water,Wetland,Water
363,Cropland,Forest,Wetland,Water,Wetland,Water
364,Cropland,Forest,Wetland,Water,Wetland,Forest
365,Cropland,Forest,Bareland,NULL,Non_Wetland,Bareland
366,Cropland,Forest,Bareland,Water,Non_Wetland,Water
367,Cropland,Forest,Bareland,Water,Non_Wetland,Forest
368,Cropland,Forest,Water,NULL,Water,Water
369,Cropland,Forest,Water,Non_Water,Water,Forest
370,Cropland,Forest,Water,Water,Water,Water
371,Cropland,Forest,Water,Water,Water,Forest
372,Cropland,Forest,Forest,NULL,Non_Wetland,Grassland
373,Cropland,Forest,Forest,NULL,Non_Wetland,Bareland
374,Cropland,Forest,Forest,NULL,Non_Wetland,Forest
375,Cropland,Forest,Forest,Non_Water,Non_Wetland,Grassland
376,Cropland,Forest,Forest,Non_Water,Non_Wetland,Forest
377,Cropland,Forest,Forest,Water,Non_Wetland,Grassland
378,Cropland,Forest,Forest,Water,Non_Wetland,Water
379,Wetland,NULL,Shrubland,Non_Water,Non_Wetland,Water
380,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Water
381,Wetland,NULL,Cropland,Non_Water,Non_Wetland,Forest
382,Wetland,NULL,Wetland,NULL,Wetland,Wetland
383,Wetland,NULL,Wetland,NULL,Wetland,Forest
384,Wetland,NULL,Wetland,Non_Water,Wetland,Grassland
385,Wetland,NULL,Wetland,Non_Water,Wetland,Wetland
386,Wetland,NULL,Wetland,Water,Wetland,Wetland
387,Wetland,NULL,Wetland,Water,Wetland,Water
388,Wetland,NULL,Wetland,Water,Wetland,Forest
389,Wetland,NULL,Water,Non_Water,Water,Grassland
390,Wetland,NULL,Water,Water,Water,Grassland
391,Wetland,NULL,Water,Water,Water,Wetland
392,Wetland,NULL,Forest,NULL,Non_Wetland,Grassland
393,Wetland,NULL,Forest,NULL,Non_Wetland,Wetland
394,Wetland,NULL,Forest,NULL,Non_Wetland,Forest
395,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland
396,Wetland,NULL,Forest,Non_Water,Non_Wetland,Wetland
397,Wetland,NULL,Forest,Water,Non_Wetland,Grassland
398,Wetland,NULL,Forest,Water,Non_Wetland,Wetland
399,Wetland,Wetland,Wetland,NULL,Wetland,Wetland
400,Wetland,Wetland,Wetland,NULL,Wetland,Forest
401,Wetland,Wetland,Wetland,Non_Water,Wetland,Wetland
402,Wetland,Wetland,Wetland,Water,Wetland,Wetland
403,Wetland,Wetland,Water,NULL,Water,Wetland
404,Wetland,Wetland,Water,Water,Water,Grassland
405,Wetland,Wetland,Water,Water,Water,Wetland
406,Wetland,Wetland,Water,Water,Water,Water
407,Wetland,Wetland,Forest,NULL,Non_Wetland,Wetland
408,Wetland,Wetland,Forest,Non_Water,Non_Wetland,Wetland
409,Wetland,Bareland,Wetland,Non_Water,Wetland,Grassland
410,Wetland,Bareland,Wetland,Water,Wetland,Water
411,Wetland,Bareland,Water,Non_Water,Water,Forest
412,Wetland,Bareland,Water,Water,Water,Grassland
413,Wetland,Bareland,Water,Water,Water,Water
414,Wetland,Bareland,Water,Water,Water,Forest
415,Wetland,Bareland,Forest,NULL,Non_Wetland,Forest
416,Wetland,Water,Wetland,NULL,Wetland,Wetland
417,Wetland,Water,Wetland,NULL,Wetland,Water
418,Wetland,Water,Wetland,NULL,Wetland,Forest
419,Wetland,Water,Wetland,Water,Wetland,Water
420,Wetland,Water,Bareland,Water,Non_Wetland,Water
421,Wetland,Water,Water,NULL,Water,Forest
422,Wetland,Water,Water,Water,Water,Water
423,Wetland,Water,Forest,NULL,Non_Wetland,Forest
424,Wetland,Forest,Wetland,NULL,Wetland,Wetland
425,Wetland,Forest,Wetland,NULL,Wetland,Forest
426,Wetland,Forest,Wetland,Water,Wetland,Water
427,Wetland,Forest,Water,Water,Water,Water
428,Wetland,Forest,Forest,NULL,Non_Wetland,Forest
429,Bareland,NULL,Shrubland,NULL,Non_Wetland,Grassland
430,Bareland,NULL,Shrubland,NULL,Non_Wetland,Bareland
431,Bareland,NULL,Shrubland,NULL,Non_Wetland,Forest
432,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
433,Bareland,NULL,Shrubland,Water,Non_Wetland,Grassland
434,Bareland,NULL,Grassland,NULL,Non_Wetland,Grassland
435,Bareland,NULL,Grassland,NULL,Non_Wetland,Bareland
436,Bareland,NULL,Cropland,NULL,Non_Wetland,Grassland
437,Bareland,NULL,Cropland,NULL,Non_Wetland,Bareland
438,Bareland,NULL,Cropland,Water,Non_Wetland,Water
439,Bareland,NULL,Wetland,Non_Water,Wetland,Forest
440,Bareland,NULL,Wetland,Water,Wetland,Water
441,Bareland,NULL,Bareland,NULL,Non_Wetland,Grassland
442,Bareland,NULL,Bareland,NULL,Non_Wetland,Bareland
443,Bareland,NULL,Bareland,Water,Non_Wetland,Water
444,Bareland,NULL,Water,Water,Water,Water
445,Bareland,NULL,Forest,NULL,Non_Wetland,Grassland
