Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
27,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Forest,Grassland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
29,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
39,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
40,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,NULL,Forest
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,NULL,Non_Wetland,Water,NULL,Forest
46,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
50,NULL,NULL,Wetland,NULL,Wetland,Water,NULL,Forest
51,NULL,NULL,Wetland,NULL,Wetland,Forest,NULL,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
55,NULL,NULL,Wetland,Non_Water,Wetland,Water,Wetland,Grassland
56,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
57,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
58,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Grassland
60,NULL,NULL,Wetland,Water,Wetland,Bareland,Water,Water
61,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Grassland
62,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Wetland
63,NULL,NULL,Wetland,Water,Wetland,Bareland,Forest,Water
64,NULL,NULL,Wetland,Water,Wetland,Water,NULL,Water
65,NULL,NULL,Wetland,Water,Wetland,Water,Water,Grassland
66,NULL,NULL,Wetland,Water,Wetland,Water,Water,Water
67,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
73,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
76,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
77,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
78,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland,Built-up,Water
79,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
80,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
81,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Bareland
82,NULL,NULL,Water,NULL,Water,Bareland,Wetland,Built-up
83,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Grassland
84,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Bareland
85,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Built-up
86,NULL,NULL,Water,NULL,Water,Bareland,Built-up,Forest
87,NULL,NULL,Water,NULL,Water,Built-up,Built-up,Grassland
88,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
89,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
90,NULL,NULL,Water,Non_Water,Water,Water,Water,Water
91,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
92,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
93,NULL,NULL,Water,Water,Water,NULL,NULL,Water
94,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
95,NULL,NULL,Water,Water,Water,Water,NULL,Water
96,NULL,NULL,Water,Water,Water,Water,Water,Grassland
97,NULL,NULL,Water,Water,Water,Water,Water,Water
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
102,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
103,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Grassland
104,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Wetland,Forest
105,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Built-up,Bareland
106,NULL,NULL,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
107,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Grassland
108,NULL,NULL,Forest,NULL,Non_Wetland,Water,NULL,Forest
109,NULL,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,Forest,Forest,Forest
111,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Forest,Water,Non_Wetland,Water,Water,Forest
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
119,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
120,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
121,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
122,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
124,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
125,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
126,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
128,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
129,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
131,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
132,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
133,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
134,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
137,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
138,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
139,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
140,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
141,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
142,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
143,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
144,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
145,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
146,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
147,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
148,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
149,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
150,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
151,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
152,NULL,Wetland,Water,Water,Water,NULL,NULL,Forest
153,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
154,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
155,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
158,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
159,NULL,Bareland,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
160,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
161,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
162,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
163,NULL,Bareland,Wetland,Water,Wetland,Water,Water,Water
164,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Grassland
165,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Bareland
166,NULL,Bareland,Water,NULL,Water,Bareland,Built-up,Built-up
167,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
173,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
183,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
184,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
185,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
187,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
188,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
189,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
190,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
191,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
192,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
193,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
194,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
196,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
197,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
198,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water,Built-up,Forest
199,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
201,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
202,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up,Water,Forest
204,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
205,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
206,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
207,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Bareland,Forest
208,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Built-up
209,NULL,Built-up,Shrubland,Water,Non_Wetland,Built-up,Built-up,Forest
210,NULL,Built-up,Shrubland,Water,Non_Wetland,Water,Built-up,Forest
211,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
213,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
214,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
215,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
216,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,Water,NULL,Forest
220,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
222,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
223,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
224,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
225,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
226,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
228,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
229,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
230,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
231,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Water
232,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
233,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
234,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
235,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
236,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
238,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
239,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
242,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
243,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
244,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
245,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Forest
246,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
248,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
249,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
250,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
252,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
253,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
254,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
255,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
256,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Forest
257,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Forest
258,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
261,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
262,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
265,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
266,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
267,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Forest
268,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Grassland
269,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Built-up
270,NULL,Built-up,Built-up,Water,Non_Wetland,Built-up,Built-up,Forest
271,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
272,NULL,Built-up,Water,NULL,Water,NULL,NULL,Built-up
273,NULL,Built-up,Water,NULL,Water,NULL,NULL,Water
274,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
275,NULL,Built-up,Water,NULL,Water,Bareland,Wetland,Grassland
276,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Grassland
277,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
278,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Forest
279,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Grassland
280,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Bareland
281,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Water
282,NULL,Built-up,Water,Non_Water,Water,NULL,NULL,Forest
283,NULL,Built-up,Water,Water,Water,NULL,NULL,Grassland
284,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
285,NULL,Built-up,Water,Water,Water,NULL,NULL,Built-up
286,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
287,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
288,NULL,Built-up,Water,Water,Water,Built-up,Bareland,Forest
289,NULL,Built-up,Water,Water,Water,Built-up,Water,Water
290,NULL,Built-up,Water,Water,Water,Water,Built-up,Water
291,NULL,Built-up,Water,Water,Water,Water,Water,Forest
292,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
293,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
296,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Grassland
297,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,NULL,Forest
298,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
299,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
300,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
301,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Built-up,Forest
302,NULL,Built-up,Forest,NULL,Non_Wetland,Water,NULL,Forest
303,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Bareland,Built-up
304,NULL,Built-up,Forest,NULL,Non_Wetland,Water,Built-up,Forest
305,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
307,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Grassland
308,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
309,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
311,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Water,NULL,Water,Non_Wetland,NULL,NULL,Grassland
313,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
315,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
316,NULL,Water,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
317,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
319,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
320,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
322,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Water,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
324,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
325,NULL,Water,Shrubland,Water,Non_Wetland,Water,Wetland,Water
326,NULL,Water,Shrubland,Water,Non_Wetland,Water,Water,Water
327,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Water,Grassland,NULL,Non_Wetland,Water,NULL,Water
329,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
330,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
331,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
333,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
334,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
335,NULL,Water,Wetland,NULL,Wetland,Bareland,NULL,Forest
336,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Water
337,NULL,Water,Wetland,NULL,Wetland,Water,NULL,Forest
338,NULL,Water,Wetland,NULL,Wetland,Forest,Forest,Forest
339,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
340,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
341,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
342,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
343,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
344,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
345,NULL,Water,Wetland,Water,Wetland,Bareland,NULL,Water
346,NULL,Water,Wetland,Water,Wetland,Bareland,Water,Water
347,NULL,Water,Wetland,Water,Wetland,Built-up,Water,Water
348,NULL,Water,Wetland,Water,Wetland,Water,NULL,Water
349,NULL,Water,Wetland,Water,Wetland,Water,Wetland,Water
350,NULL,Water,Wetland,Water,Wetland,Water,Water,Grassland
351,NULL,Water,Wetland,Water,Wetland,Water,Water,Water
352,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
353,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
