Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MUA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MUA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MUA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MUA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MUA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MUA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,NULL
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Cropland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Built-up
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Built-up,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Water
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Built-up
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Cropland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Water
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
304,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
306,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
307,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
308,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Water
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,Built-up,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Wetland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
322,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Cropland
325,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Bareland
327,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
328,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
