Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KGF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KGF_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
180,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
184,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
187,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Cropland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Forest,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
218,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
220,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,Forest
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
223,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
224,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
225,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
226,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
274,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
