Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MQR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MQR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Built-up
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Water
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
153,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
191,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
194,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
195,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
214,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
215,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
216,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
217,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
219,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
220,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
222,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
223,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
224,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
226,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
234,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
235,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Water
236,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
237,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
238,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
239,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
240,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
241,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
242,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
243,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
244,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
245,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
246,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Grassland
247,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
248,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Water
249,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
250,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
251,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
252,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
253,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
254,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
255,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Water
256,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
264,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Bareland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Cropland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Built-up,Grassland
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
315,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
316,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
317,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
318,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
319,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
320,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
321,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
322,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
323,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
324,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
325,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
326,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
327,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
328,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
