Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NCB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NCB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Built-up
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
24,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
25,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Forest,Grassland
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
28,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
29,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
36,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
37,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
38,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
39,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
41,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
47,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
48,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
49,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
54,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
56,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
57,NULL,NULL,Forest,NULL,Non_Wetland,Wetland,NULL,Forest
