Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
